id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
30208,Cindy Kimberly,1,Pop Culture,275,Models,INFP,251,9w1,67,SEI,15,sx/sp,14,936.0,16,Melancholic-Sanguine,12,EFVL,7,RCUAI,13,IF(S),6,I,0.97,N,0.54,F,0.99,P,0.97,50+
28470,Tobey Maguire,1,Pop Culture,13,Actors and Actresses (USA),INFP,250,9w8,111,SLI,28,sp/sx,20,946.0,22,Melancholic-Choleric,28,FLEV,9,RLUEI,15,IT(S),10,I,0.92,N,0.74,F,0.85,P,0.94,50+
24944,Naomi Osaka,5,Sports,53,Tennis,INFP,244,9w1,83,SEI,16,sx/sp,19,936.0,18,Phlegmatic [Dominant],16,FEVL,7,RLOEN,5,IF(N),1,I,0.99,N,0.77,F,0.97,P,0.98,50+
960,Nicolas Cage,1,Pop Culture,13,Actors and Actresses (USA),INFP,238,6w7,98,IEE,24,sx/sp,25,649.0,29,Sanguine-Melancholic,28,EFVL,12,RLUAI,20,IF(N),11,I,0.68,N,0.92,F,0.82,P,0.91,50+
4170,Joseph Gordon-Levitt,1,Pop Culture,13,Actors and Actresses (USA),INFP,226,4w5,105,IEE,17,sp/so,21,497.0,16,Melancholic-Phlegmatic,18,ELFV,6,RCUAI,12,IF(N),3,I,0.79,N,0.96,F,0.95,P,0.98,50+
1736,Guillermo del Toro,1,Pop Culture,207,Film Directors,INFP,222,4w5,104,IEI,18,so/sp,36,495.0,25,Phlegmatic-Melancholic,23,ELVF,6,RLUAI,9,IN(F),5,I,0.95,N,0.97,F,0.97,P,0.96,50+
11727,Neil Gaiman,16,The Arts,3441,Writers (Comics),INFP,217,4w5,94,IEI,17,sp/sx,21,459.0,21,Melancholic-Phlegmatic,17,ELVF,9,RCUAI,10,IN(F),9,I,0.87,N,0.97,F,0.95,P,0.94,50+
42827,Maya Hawke,1,Pop Culture,13,Actors and Actresses (USA),INFP,216,4w3,65,IEI,12,so/sx,15,497.0,16,Sanguine-Melancholic,32,EVLF,4,RCUAI,9,IF(N),5,I,0.79,N,0.93,F,0.94,P,0.98,50+
6310,Charles Baudelaire,16,The Arts,3458,"Writers (Literature, Classic)",INFP,216,4w5,123,IEI,20,sx/sp,47,485.0,26,Melancholic [Dominant],25,LEVF,16,RLUEI,14,IN(F),8,I,0.94,N,0.84,F,0.82,P,0.77,50+
11520,Bong Joon-ho,1,Pop Culture,207,Film Directors,INFP,214,4w5,100,IEI,12,so/sp,15,459.0,12,Melancholic [Dominant],17,LEVF,4,RCUAI,9,IN(F),3,I,0.97,N,0.97,F,0.78,P,0.86,50+
